exp	c_54	0179_0001	400.0	728.084199601389	5.732445466661903
exp	c_54	0099_0001	550.0	732.9055707882083	8.427075156670954
exp	c_54	0126_0001	650.0	743.3776875264412	5.466358971394788
exp	c_54	0166_0001	800.0	763.4295937424298	6.549771763255396
exp	c_1086	0181_0001	400.0	728.4890260344	4.094699026444422
exp	c_1086	0101_0001	550.0	731.7601369445149	5.177039236574958
exp	c_1086	0127_0001	650.0	742.576506758406	3.9262573362762914
exp	c_1086	0168_0001	800.0	756.778678975128	4.714325533895194
exp	c_2198	0183_0001	400.0	722.164843571076	2.4181550977133384
exp	c_2198	0103_0001	550.0	738.2638581799749	2.7851031255512524
exp	c_2198	0130_0001	650.0	748.3015565614389	2.2006523895482606
exp	c_2198	0170_0001	800.0	758.0055547752874	2.4281942061385524
